CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country,DateJoined,DateOfBirth,LoyaltyPoints,PreferredContactMethod
1,Erika,Wallace,megan58@franklin.com,+1-545-551-2986x951,"486 Gutierrez Row Suite 858
North Erinberg, TX 81647",Alyssachester,Oregon,23265,Qatar,2022-05-08,1970-05-04,466,Email
2,Kent,Brown,autumn79@hotmail.com,+1-051-878-2953,"0999 Mitchell Villages
Stephenberg, WY 65833",Davisville,Nevada,22716,French Southern Territories,2019-08-20,2006-06-09,2294,Email
3,Meghan,Miller,bakerdaniel@yoder-pruitt.info,871-268-2305x1125,"758 Alvarado Crest
Susanport, MS 40644",East John,Tennessee,73975,Bulgaria,2021-07-04,1959-09-26,3508,Phone
4,Billy,Ray,sylvia60@gilbert-banks.net,6663167862,"71674 Welch Hills Suite 128
Lewisport, AR 30796",East Sherry,Texas,13841,Sudan,2023-06-04,1957-03-20,2317,Email
5,Drew,Leblanc,angela79@gmail.com,(967)923-3717x8024,"9364 Barnes Stream
Jennaland, ID 69923",North Gabriellaton,Louisiana,53539,Malawi,2021-01-30,1990-01-30,1048,SMS
6,Matthew,Rodgers,cdouglas@gmail.com,1461322117,"55798 Garrison Field Apt. 816
North Carolyn, MO 50303",North Kimberlyborough,West Virginia,93455,Niue,2022-02-05,1936-09-05,407,SMS
7,Collin,Haney,carlos33@gmail.com,001-595-434-4928,"3891 Baker Glens
South Sherry, MD 33264",Patrickstad,Montana,74967,Oman,2021-01-08,2003-11-19,1090,Phone
8,Jacob,Johnson,zbond@allen.net,922.575.3565,"309 Richard Prairie
Jordanfurt, DC 99534",Port Juliahaven,Illinois,13883,Portugal,2019-08-17,1944-01-13,4866,Email
9,Jennifer,Curry,thomas77@anderson.com,879.376.3568x86937,"8990 Joseph Junctions Apt. 525
Port Christinashire, AZ 13345",Lisaview,Idaho,86717,Jersey,2020-02-08,1945-05-31,298,Phone
10,Dillon,Martinez,fwilson@jackson.com,001-232-418-2806x51103,"64197 Christina Burgs
Caitlinhaven, MT 84715",Phelpsland,Illinois,75614,Macedonia,2023-11-30,1948-03-26,1001,Email
11,Robert,Cooper,gkane@gmail.com,147-077-1478,"273 Roberts Lake
Matthewborough, WA 17648",North Douglaschester,Iowa,17635,Tunisia,2023-01-15,1980-06-28,3205,SMS
12,Kelly,Martin,vhanson@yahoo.com,(665)323-8006x145,"039 Jessica Mills Suite 220
Daviesshire, RI 30754",Port Shannonland,Wisconsin,93394,Guyana,2022-12-19,1976-11-06,1854,Email
13,Willie,Guzman,joshuamatthews@jensen.com,6565722542,"585 Bryant Crossing Apt. 847
East Joseph, AZ 29204",Lake Jennifer,South Carolina,93990,Monaco,2024-01-15,1959-07-09,3283,Phone
14,Adam,Welch,xbates@davis.info,(794)213-6067x204,"901 Lewis Mills Suite 236
Vickichester, OR 75847",Mitchellmouth,Arizona,59102,Moldova,2023-06-09,1972-09-07,4606,Email
15,John,Jackson,zduarte@yahoo.com,357.253.8791,"01124 Davies Expressway
South Jonathan, KS 31503",Mccartyborough,Idaho,71507,Wallis and Futuna,2024-02-11,1965-01-05,423,Phone
16,Yvonne,Gonzalez,dawnbishop@yahoo.com,+1-261-760-6913,"PSC 1562, Box 4421
APO AP 89114",West Carolyn,South Carolina,82623,Puerto Rico,2023-12-03,1946-10-04,339,SMS
17,Ronald,Proctor,kathleen36@yahoo.com,437.327.7532,"6656 Ortiz Shoal Apt. 057
West Derek, CT 08560",South Marilyn,South Dakota,86602,Saint Helena,2024-02-02,1986-09-25,3278,Email
18,Ariel,Irwin,erin53@juarez-carr.biz,(620)745-6154x433,"5861 Dave Divide Suite 525
South Nicholasmouth, AZ 15029",Wilsonfurt,Alabama,43371,Tajikistan,2022-04-18,1981-01-16,434,Phone
19,Deanna,Perez,jonathan49@williams-fuentes.com,(387)675-8518,"676 Kevin Mill Apt. 567
West Davidville, KY 29765",Harrisland,Florida,49474,Congo,2020-11-03,1972-02-13,2474,Email
20,Lindsey,Sellers,dominguezsteven@gmail.com,351-075-1729x56395,"65176 Sean Pines Apt. 882
East Jamesfurt, LA 98401",Thomaston,Massachusetts,73269,Australia,2020-11-03,1996-10-25,4521,SMS
21,Pamela,Perry,thomaschristopher@yahoo.com,764-663-4516x426,"314 Nicole Tunnel Suite 608
New Lauren, SD 94540",Doyleport,Oklahoma,19157,Bolivia,2022-09-06,1937-12-27,3577,Email
22,Melissa,Phillips,ehughes@walker.net,(999)210-4180x59666,"591 Frey Estates
Collinschester, SD 42723",North Ronnieton,Louisiana,25868,Nauru,2021-10-24,1976-10-21,4303,SMS
23,Brandy,Humphrey,kathrynhoover@jones.com,+1-066-592-0888x81601,"PSC 3640, Box 3293
APO AA 30278",Lake Nicholaston,Tennessee,19230,Cambodia,2020-04-30,1937-01-20,4123,Email
